name	type	units	low_cutoff	high_cutoff	group	sampling_frequency
LA1-LA2	SEEG	uv	0	300	seeg	2048
LA2-LA3	SEEG	uv	0	300	seeg	2048
LA3-LA4	SEEG	uv	0	300	seeg	2048
LA4-LA5	SEEG	uv	0	300	seeg	2048
LA5-LA6	SEEG	uv	0	300	seeg	2048
LA6-LA7	SEEG	uv	0	300	seeg	2048
LA7-LA8	SEEG	uv	0	300	seeg	2048
LA8-LA9	SEEG	uv	0	300	seeg	2048
LA9-LA10	SEEG	uv	0	300	seeg	2048
LA10-LA11	SEEG	uv	0	300	seeg	2048
LA11-LA12	SEEG	uv	0	300	seeg	2048
LA12-LA13	SEEG	uv	0	300	seeg	2048
LA13-LA14	SEEG	uv	0	300	seeg	2048
LA14-LA15	SEEG	uv	0	300	seeg	2048
LA15-LA16	SEEG	uv	0	300	seeg	2048
LA16-LA15	SEEG	uv	0	300	seeg	2048
LAH1-LAH2	SEEG	uv	0	300	seeg	2048
LAH2-LAH3	SEEG	uv	0	300	seeg	2048
LAH3-LAH4	SEEG	uv	0	300	seeg	2048
LAH4-LAH5	SEEG	uv	0	300	seeg	2048
LAH5-LAH6	SEEG	uv	0	300	seeg	2048
LAH6-LAH7	SEEG	uv	0	300	seeg	2048
LAH7-LAH8	SEEG	uv	0	300	seeg	2048
LAH8-LAH9	SEEG	uv	0	300	seeg	2048
LAH9-LAH10	SEEG	uv	0	300	seeg	2048
LAH10-LAH11	SEEG	uv	0	300	seeg	2048
LAH11-LAH12	SEEG	uv	0	300	seeg	2048
LAH12-LAH13	SEEG	uv	0	300	seeg	2048
LAH13-LAH14	SEEG	uv	0	300	seeg	2048
LAH14-LAH13	SEEG	uv	0	300	seeg	2048
LPH1-LPH2	SEEG	uv	0	300	seeg	2048
LPH2-LPH3	SEEG	uv	0	300	seeg	2048
LPH3-LPH4	SEEG	uv	0	300	seeg	2048
LPH4-LPH5	SEEG	uv	0	300	seeg	2048
LPH5-LPH6	SEEG	uv	0	300	seeg	2048
LPH6-LPH7	SEEG	uv	0	300	seeg	2048
LPH7-LPH8	SEEG	uv	0	300	seeg	2048
LPH8-LPH9	SEEG	uv	0	300	seeg	2048
LPH9-LPH10	SEEG	uv	0	300	seeg	2048
LPH10-LPH11	SEEG	uv	0	300	seeg	2048
LPH11-LPH12	SEEG	uv	0	300	seeg	2048
LPH12-LPH13	SEEG	uv	0	300	seeg	2048
LPH13-LPH14	SEEG	uv	0	300	seeg	2048
LPH14-LPH13	SEEG	uv	0	300	seeg	2048
RA1-RA2	SEEG	uv	0	300	seeg	2048
RA2-RA3	SEEG	uv	0	300	seeg	2048
RA3-RA4	SEEG	uv	0	300	seeg	2048
RA4-RA5	SEEG	uv	0	300	seeg	2048
RA5-RA6	SEEG	uv	0	300	seeg	2048
RA6-RA7	SEEG	uv	0	300	seeg	2048
RA7-RA8	SEEG	uv	0	300	seeg	2048
RA8-RA9	SEEG	uv	0	300	seeg	2048
RA9-RA10	SEEG	uv	0	300	seeg	2048
RA10-RA11	SEEG	uv	0	300	seeg	2048
RA11-RA12	SEEG	uv	0	300	seeg	2048
RA12-RA13	SEEG	uv	0	300	seeg	2048
RA13-RA14	SEEG	uv	0	300	seeg	2048
RA14-RA13	SEEG	uv	0	300	seeg	2048
RAH1-RAH2	SEEG	uv	0	300	seeg	2048
RAH2-RAH3	SEEG	uv	0	300	seeg	2048
RAH3-RAH4	SEEG	uv	0	300	seeg	2048
RAH4-RAH5	SEEG	uv	0	300	seeg	2048
RAH5-RAH6	SEEG	uv	0	300	seeg	2048
RAH6-RAH7	SEEG	uv	0	300	seeg	2048
RAH7-RAH8	SEEG	uv	0	300	seeg	2048
RAH8-RAH9	SEEG	uv	0	300	seeg	2048
RAH9-RAH10	SEEG	uv	0	300	seeg	2048
RAH10-RAH11	SEEG	uv	0	300	seeg	2048
RAH11-RAH12	SEEG	uv	0	300	seeg	2048
RAH12-RAH13	SEEG	uv	0	300	seeg	2048
RAH13-RAH14	SEEG	uv	0	300	seeg	2048
RAH14-RAH13	SEEG	uv	0	300	seeg	2048
RPH1-RPH2	SEEG	uv	0	300	seeg	2048
RPH2-RPH3	SEEG	uv	0	300	seeg	2048
RPH3-RPH4	SEEG	uv	0	300	seeg	2048
RPH4-RPH5	SEEG	uv	0	300	seeg	2048
RPH5-RPH6	SEEG	uv	0	300	seeg	2048
RPH6-RPH7	SEEG	uv	0	300	seeg	2048
RPH7-RPH8	SEEG	uv	0	300	seeg	2048
RPH8-RPH9	SEEG	uv	0	300	seeg	2048
RPH9-RPH10	SEEG	uv	0	300	seeg	2048
RPH10-RPH11	SEEG	uv	0	300	seeg	2048
RPH11-RPH12	SEEG	uv	0	300	seeg	2048
RPH12-RPH13	SEEG	uv	0	300	seeg	2048
RPH13-RPH14	SEEG	uv	0	300	seeg	2048
RPH14-RPH13	SEEG	uv	0	300	seeg	2048
RITP1-RITP2	SEEG	uv	0	300	seeg	2048
RITP2-RITP3	SEEG	uv	0	300	seeg	2048
RITP3-RITP4	SEEG	uv	0	300	seeg	2048
RITP4-RITP5	SEEG	uv	0	300	seeg	2048
